ParkName,latitude,longitude,2009,2010,2011,2012,2013,2014,2015
Acadia,44.35,-68.2167,2227698,2504208,2374645,2431052,2254922,2563129,2811184
Arches,38.6833,-109.5667,996312,1014405,1040758,1070577,1082866,1284767,1399247
Badlands,43.75,-102.5,933918,977778,870741,883406,892372,868094,989354
Big Bend,59.25,-103.25,363905,372330,361862,292055,316953,314102,381747
Biscayne,25.4694,-80.1861,437745,467612,476077,495613,486848,525745,508164
Black Canyon of the Gunnison,38.5667,-107.7167,171451,176344,168336,192570,175852,183045,209166
Bryce Canyon,37.6283,-112.1677,1216377,1285492,1296000,1385352,1311875,1435741,1745804
Canyonlands,38.1669,-109.7597,436241,435908,473773,452952,462242,542431,634607
Capitol Reef,38.2,-111.1667,617208,662661,668834,673345,663670,786514,941029
Carlsbad Caverns,32.1753,-104.4439,432639,428524,365000,381058,388566,397309,445720
Channel Islands,34.0083,-119.4167,348745,277515,242756,249594,212029,342161,324816
Congaree,33.7833,-80.7833,122970,121208,120166,109685,120340,120122,87513
Crater Lake,42.9118,-122.1481,446516,448319,423551,447251,523027,535508,614712
Cuyahoga Valley,41.2417,-81.5497,2589288,2492670,2161185,2299722,2103010,2189849,2284612
Death Valley,36.2419,-116.8258,828574,984775,946867,984568,951972,1101312,1154843
Dry Tortugas,24.6286,-82.8733,52011,53890,75171,60550,58401,64865,70862
Everglades,25.3167,-80.9333,900882,915538,934351,1141906,1047116,1110901,1077427
Glacier,48.6967,-113.7183,2031348,2200048,1853564,2162035,2190374,2338528,2366056
Grand Canyon,36.0553,-112.1218,4348068,4388386,4298178,4421352,4564840,4756771,5520736
Grand Teton,43.8333,-110.7008,2580081,2669374,2587437,2705256,2688794,2791392,3149921
Great Basin,39.0058,-114.2197,84974,88870,91451,94850,92893,107526,116123
Great Smoky Mountains ,35.6833,-83.5333,9491437,9463538,9008830,9685829,9354695,10099276,10712674
Guadalupe Mountains,31.9167,-104.8667,198882,192210,152546,159360,145670,166868,169535
Haleakala,20.7167,-156.1667,1109104,1105606,956989,1094668,785300,1142040,1216772
Hawaii Volcanoes,19.3833,-155.2,1233105,1304667,1352123,1483928,1583209,1693005,1832660
Hot Springs,34.5136,-93.0536,1284707,1311807,1396354,1302505,1325719,1424484,1418162
Isle Royale,48.1,-88.55,14653,15793,15892,16663,16274,14560,18684
Joshua Tree,33.7884,-115.8982,1304471,1434976,1396237,1396117,1383340,1589904,2025756
Kenai Fjords,59.9178,-149.9875,218358,297596,346852,281279,283502,270666,296697
Kings Canyon,36.7893,-118.6729,609296,598205,566810,591033,567544,502268,468106
Kobuk Valley,67.55,-159.2833,1879,3164,11485,29550,16875,0,0
Lassen Volcanic,40.4877,-121.505,365639,384570,351269,407653,427409,432977,468092
Mammoth Cave,37.1833,-86.1,503856,497225,483319,508054,494541,522628,566895
Mesa Verde,37.1838,-108.4887,550377,559712,572329,488860,460237,501563,547325
Mount Rainier,46.8529,-121.7604,1151654,1191754,1038229,1049178,1148552,1264259,1237231
North Cascades,48.8328,-121.3475,26972,24659,19208,26935,21623,23865,20677
Olympic,47.9694,-123.4986,3276459,2844563,2966502,2824908,3085340,3243872,3263761
Petrified Forest,35.0881,-109.8064,631613,664725,614054,664857,644648,836799,793225
Pinnacles,36.4869,-121.1669,171112,246575,393219,224476,237677,196635,206533
Redwood,41.3,-124,444426,418820,380167,352517,393364,429166,527143
Rocky Mountain,40.3333,-105.7089,2822325,2955821,3176941,3229617,2991141,3434751,4155916
Saguaro,32.25,-110.5,665234,717614,610045,634286,678261,673572,753446
Sequoia,36.04,-118.5044,965170,1002979,1006583,1106584,909274,1039137,1097464
Shenandoah,38.5333,-78.35,1120981,1253386,1209883,1210200,1136505,1255321,1321873
Theodore Roosevelt,46.9667,-103.45,586928,623748,563407,640555,545090,559580,580033
Virgin Islands,18.3333,-64.7333,415847,493477,442414,483341,438601,426930,438372
Voyageurs,48.5,-92.8833,222429,253891,177184,214841,233390,239160,238313
Wind Cave,43.5564,-103.4786,587868,577141,538394,529083,516142,547022,612198
Yellowstone,44.6,-110.5,3295187,3640185,3394326,3447729,3188030,3513484,4097710
Yosemite,37.8499,-119.5677,3737472,3901408,3951393,3853404,3691191,3882642,4150217
Zion,37.2026,-112.9878,2735402,2665972,2825505,2973607,2807387,3189696,3648846
