ParkName,Y_Average
Acadia,"2,452,405"
Arches,"1,126,990"
Badlands,"916,523"
Big Bend,"343,279"
Biscayne,"485,401"
Black Canyon of the Gunnison,"182,395"
Bryce Canyon,"1,382,377"
Canyonlands,"491,165"
Capitol Reef,"716,180"
Carlsbad Caverns,"405,545"
Channel Islands,"285,374"
Congaree,"114,572"
Crater Lake,"491,269"
Cuyahoga Valley,"2,302,905"
Death Valley,"993,273"
Dry Tortugas,"62,250"
Everglades,"1,018,303"
Glacier,"2,163,136"
Grand Canyon,"4,614,047"
Grand Teton,"2,738,894"
Great Basin,"96,670"
Great Smoky Mountains ,"9,688,040"
Guadalupe Mountains,"169,296"
Haleakala,"1,058,640"
Hawaii Volcanoes,"1,497,528"
Hot Springs,"1,351,963"
Isle Royale,"16,074"
Joshua Tree,"1,504,400"
Kenai Fjords,"284,993"
Kings Canyon,"557,609"
Kobuk Valley,"8,993"
Lassen Volcanic,"405,373"
Mammoth Cave,"510,931"
Mesa Verde,"525,772"
Mount Rainier,"1,154,408"
North Cascades,"23,420"
Olympic,"3,072,201"
Petrified Forest,"692,846"
Pinnacles,"239,461"
Redwood,"420,800"
Rocky Mountain,"3,252,359"
Saguaro,"676,065"
Sequoia,"1,018,170"
Shenandoah,"1,215,450"
Theodore Roosevelt,"585,620"
Virgin Islands,"448,426"
Voyageurs,"225,601"
Wind Cave,"558,264"
Yellowstone,"3,510,950"
Yosemite,"3,881,104"
Zion,"2,978,059"
