Park,latitude,longitude,2008,2009,2010,2011,2012,2013,2014
Wrangell-St. Elias,61,-142,65693,59966,73170,65225,87158,69984,74722
Gates of the Arctic,67.7833,-153.3,11397,9975,10840,11623,10899,11012,12669
Denali,63.3333,-150.5,432309,358041,378855,406582,388433,530922,531315
Katmai,58.5,-155,7970,43035,55172,48939,39818,28966,30896
Death Valley,36.2419,-116.8258,871938,828574,984775,946867,984568,951972,1101312
Glacier Bay,58.5,-137,418911,438361,444530,431986,454337,500590,500727
Lake Clark,60.9667,-153.4167,6802,9711,9931,5158,11639,13000,16100
Yellowstone,44.6,-110.5,3066580,3295187,3640185,3394326,3447729,3188030,3513484
Kobuk Valley,67.55,-159.2833,1565,1879,3164,11485,29550,16875,0
Everglades,25.3167,-80.9333,822118,900882,915538,934351,1141906,1047116,1110901
Grand Canyon,36.0553,-112.1218,4425314,4348068,4388386,4298178,4421352,4564840,4756771
Glacier,48.6967,-113.7183,1808027,2031348,2200048,1853564,2162035,2190374,2338528
Olympic,47.9694,-123.4986,3081451,3276459,2844563,2966502,2824908,3085340,3243872
Big Bend,9.25,-103.25,362512,363905,372330,361862,292055,316953,314102
Joshua Tree,33.7884,-115.8982,1392446,1304471,1434976,1396237,1396117,1383340,1589904
