ParkName,latitude,longitude,Y_1985,Y_1990,Y_1995,Y_2000,Y_2005,Y_2010,Y_2015
Acadia,44.35,-68.2167,"3,745,570","2,475,857","2,845,378","2,469,238","2,051,484","2,504,208","2,811,184"
Arches,38.6833,-109.5667,"363,464","705,882","859,374","786,429","781,670","1,014,405","1,399,247"
Badlands,43.75,-102.5,"950,242","1,518,396","1,075,569","1,105,824","909,146","977,778","989,354"
Big Bend,59.25,-103.25,"188,045","296,470","295,460","262,320","398,583","372,330","381,747"
Biscayne,25.4694,-80.1861,"460,921","488,134","584,519","393,151","563,728","467,612","508,164"
Black Canyon of the Gunnison,38.5667,-107.7167,"266,012","316,336","221,113","191,506","180,814","176,344","209,166"
Bryce Canyon,37.6283,-112.1677,"500,782","929,067","994,548","1,099,275","1,017,681","1,285,492","1,745,804"
Canyonlands,38.1669,-109.7597,"116,672","339,315","448,769","401,558","393,381","435,908","634,607"
Capitol Reef,38.2,-111.1667,"320,503","618,056","648,864","612,656","550,255","662,661","941,029"
Carlsbad Caverns,32.1753,-104.4439,"732,482","679,450","588,609","469,303","413,786","428,524","445,720"
Channel Islands,34.0083,-119.4167,"164,132","30,975","67,949","95,619","84,301","277,515","324,816"
Congaree,33.7833,-80.7833,"12,332","456,931","496,041","426,883","447,240","121,208","87,513"
Crater Lake,42.9118,-122.1481,"390,604","1,358,984","3,195,207","3,324,918","2,533,827","448,319","614,712"
Cuyahoga Valley,41.2417,-81.5497,"1,004,858","743,608","1,109,421","1,179,094","800,113","2,492,670","2,284,612"
Death Valley,36.2419,-116.8258,"576,679","18,231","32,870","83,704","61,765","984,775","1,154,843"
Dry Tortugas,24.6286,-82.8733,"13,213","1,292,014","820,466","995,390","1,233,837","53,890","70,862"
Everglades,25.3167,-80.9333,"697,646","2,096,966","1,839,518","1,728,693","1,925,101","915,538","1,077,427"
Glacier,48.6967,-113.7183,"1,603,011","3,886,031","4,557,645","4,460,228","4,401,522","2,200,048","2,366,056"
Grand Canyon,36.0553,-112.1218,"2,711,529","1,625,752","2,731,015","2,590,624","2,463,442","4,388,386","5,520,736"
Grand Teton,43.8333,-110.7008,"1,334,483","63,864","87,829","81,045","77,741","2,669,374","3,149,921"
Great Basin,39.0058,-114.2197,"36,343","8,654,459","9,080,420","10,175,812","9,192,477","88,870","116,123"
Great Smoky Mountains ,35.6833,-83.5333,"9,319,290","200,398","208,972","198,762","170,383","9,463,538","10,712,674"
Guadalupe Mountains,31.9167,-104.8667,"147,758","1,228,332","1,594,596","1,620,083","1,474,681","192,210","169,535"
Haleakala,20.7167,-156.1667,"1,194,651","1,238,653","1,175,028","1,514,636","1,661,196","1,105,606","1,216,772"
Hawaii Volcanoes,19.3833,-155.2,"816,652","1,203,929","1,617,077","1,338,156","1,340,160","1,304,667","1,832,660"
Hot Springs,34.5136,-93.0536,"1,112,764","22,004","23,470","21,096","17,398","1,311,807","1,418,162"
Isle Royale,48.1,-88.55,"16,775","1,145,458","1,235,702","1,233,935","1,375,111","15,793","18,684"
Joshua Tree,33.7884,-115.8982,"641,172","107,041","230,657","254,790","258,297","1,434,976","2,025,756"
Kenai Fjords,59.9178,-149.9875,"35,758","1,071,022","832,794","528,987","594,893","297,596","296,697"
Kings Canyon,36.7893,-118.6729,"874,456","2,795","2,781","2,646","5,037","598,205","468,106"
Kobuk Valley,67.55,-159.2833,"1,305","463,179","351,001","374,911","365,535","3,164",0
Lassen Volcanic,40.4877,-121.505,"451,497","2,158,195","1,935,709","1,749,268","1,878,006","384,570","468,092"
Mammoth Cave,37.1833,-86.1,"1,507,939","678,075","663,794","452,287","498,333","497,225","566,895"
Mesa Verde,37.1838,-108.4887,"656,271","1,549,412","1,438,227","1,344,833","1,173,897","559,712","547,325"
Mount Rainier,46.8529,-121.7604,"1,165,640","22,796","65,984","25,704","18,686","1,191,754","1,237,231"
North Cascades,48.8328,-121.3475,"629,234","2,759,673","3,658,615","3,327,722","3,142,774","24,659","20,677"
Olympic,47.9694,-123.4986,"2,532,145","874,521","935,065","605,192","598,378","2,844,563","3,263,761"
Petrified Forest,35.0881,-109.8064,"736,659","192,610","177,527","162,110","170,994","664,725","793,225"
Pinnacles,36.4869,-121.1669,"191,578","366,280","552,464","383,253","394,144","246,575","206,533"
Redwood,41.3,-124,"505,791","2,751,781","2,878,169","3,185,392","2,798,368","418,820","527,143"
Rocky Mountain,40.3333,-105.7089,"2,248,854","679,034","732,813","765,195","727,208","2,955,821","4,155,916"
Saguaro,32.25,-110.5,"636,711","1,120,278","844,582","838,947","1,004,843","717,614","753,446"
Sequoia,36.04,-118.5044,"939,468","1,939,486","1,757,794","1,419,579","1,094,912","1,002,979","1,097,464"
Shenandoah,38.5333,-78.35,"1,933,085","468,926","460,699","431,813","493,198","1,253,386","1,321,873"
Theodore Roosevelt,46.9667,-103.45,"377,152","710,180","536,058","703,992","803,040","623,748","580,033"
Virgin Islands,18.3333,-64.7333,"699,398","221,857","210,938","227,371","234,577","493,477","438,372"
Voyageurs,48.5,-92.8833,"183,984","597,057","805,688","668,507","612,478","253,891","238,313"
Wind Cave,43.5564,-103.4786,"477,585","2,920,537","3,125,285","2,838,233","2,835,651","577,141","612,198"
Yellowstone,44.6,-110.5,"2,226,159","3,423,101","3,958,406","3,400,903","3,304,144","3,640,185","4,097,710"
Yosemite,37.8499,-119.5677,"2,831,952","2,236,997","2,430,162","2,432,348","2,586,665","3,901,408","4,150,217"
Zion,37.2026,-112.9878,"1,503,272","2,475,857","2,845,378","2,469,238","2,051,484","2,665,972","3,648,846"
